collection,source_rel_path,filename,file_status,curve_index,short_name,long_name,unit,samples,duration_s,min,max,mean,sample_columns,curve_metadata_keys
ddd,ddd\ddd_y_250908151807.xml.gz,ddd_y_250908151807.xml.gz,,13,p VacD2 a,VacD2: Vacuum pressure moving platen,[mbar],126,80.0,956.0,960.0,957.2549841269841,CAdtIdx; time_s; time_us; value,color; fractionalDigitsY; longText; objectNumber; objectSVname; offsetY; scaleY; shortText; signalType; unitText
ddd,ddd\ddd_y_250908152118.xml.gz,ddd_y_250908152118.xml.gz,,0,p Soll,Nominal pressure,[bar],270,80.0,3.0,210.0,129.64444444444445,CAdtIdx; time_s; time_us; value,color; fractionalDigitsY; longText; objectNumber; objectSVname; offsetY; scaleY; shortText; signalType; unitText
ddd,ddd\ddd_y_250908152118.xml.gz,ddd_y_250908152118.xml.gz,,1,p Sys   a,System pressure,[bar],2050,80.0,0.0,170.0,94.98682926829268,CAdtIdx; time_s; time_us; value,color; fractionalDigitsY; longText; objectNumber; objectSVname; offsetY; scaleY; shortText; signalType; unitText
ddd,ddd\ddd_y_250908152118.xml.gz,ddd_y_250908152118.xml.gz,,2,s L     a,die position,[mm],2873,80.0,0.0,990.696,427.9242241559345,CAdtIdx; time_s; time_us; value,color; fractionalDigitsY; longText; objectNumber; objectSVname; offsetY; scaleY; shortText; signalType; unitText
ddd,ddd\ddd_y_250908152118.xml.gz,ddd_y_250908152118.xml.gz,,3,p L     a,closing pressure,[bar],2073,80.0,1.0,202.0,99.48528702363724,CAdtIdx; time_s; time_us; value,color; fractionalDigitsY; longText; objectNumber; objectSVname; offsetY; scaleY; shortText; signalType; unitText
ddd,ddd\ddd_y_250908152118.xml.gz,ddd_y_250908152118.xml.gz,,4,s I     a,Plunger stroke,[mm],3479,80.0,0.0,764.0,333.6762000574878,CAdtIdx; time_s; time_us; value,color; fractionalDigitsY; longText; objectNumber; objectSVname; offsetY; scaleY; shortText; signalType; unitText
ddd,ddd\ddd_y_250908152118.xml.gz,ddd_y_250908152118.xml.gz,,5,v I     a,Casting cylinder velocity,[m/s],425,80.0,-0.37,3.42,0.7436847058823529,CAdtIdx; time_s; time_us; value,color; fractionalDigitsY; longText; objectNumber; objectSVname; offsetY; scaleY; shortText; signalType; unitText
ddd,ddd\ddd_y_250908152118.xml.gz,ddd_y_250908152118.xml.gz,,6,p IM    a,Metal pressure: actual,[bar],1759,80.0,0.0,444.0,272.23820352472995,CAdtIdx; time_s; time_us; value,color; fractionalDigitsY; longText; objectNumber; objectSVname; offsetY; scaleY; shortText; signalType; unitText
ddd,ddd\ddd_y_250908152118.xml.gz,ddd_y_250908152118.xml.gz,,7,p I.1   a,casting cyl. primary,[bar],1049,80.0,-3.0,164.0,93.652614871306,CAdtIdx; time_s; time_us; value,color; fractionalDigitsY; longText; objectNumber; objectSVname; offsetY; scaleY; shortText; signalType; unitText
ddd,ddd\ddd_y_250908152118.xml.gz,ddd_y_250908152118.xml.gz,,8,p I.2   a,Injection cylinder secondary,[bar],1708,80.0,2.0,236.0,114.11084543325526,CAdtIdx; time_s; time_us; value,color; fractionalDigitsY; longText; objectNumber; objectSVname; offsetY; scaleY; shortText; signalType; unitText
ddd,ddd\ddd_y_250908152118.xml.gz,ddd_y_250908152118.xml.gz,,9,p N Acc a,nitrogen pressure accu,[bar],368,80.0,117.0,135.0,125.70652173913044,CAdtIdx; time_s; time_us; value,color; fractionalDigitsY; longText; objectNumber; objectSVname; offsetY; scaleY; shortText; signalType; unitText
ddd,ddd\ddd_y_250908152118.xml.gz,ddd_y_250908152118.xml.gz,,10,s E     a,ejector stroke,[mm],225,80.0,-0.9,15.1,7.120444444444444,CAdtIdx; time_s; time_us; value,color; fractionalDigitsY; longText; objectNumber; objectSVname; offsetY; scaleY; shortText; signalType; unitText
ddd,ddd\ddd_y_250908152118.xml.gz,ddd_y_250908152118.xml.gz,,11,p Atm   a,Ambient pressure,[mbar],5,80.0,956.0,956.0,956.0,CAdtIdx; time_s; time_us; value,color; fractionalDigitsY; longText; objectNumber; objectSVname; offsetY; scaleY; shortText; signalType; unitText
ddd,ddd\ddd_y_250908152118.xml.gz,ddd_y_250908152118.xml.gz,,12,p Vac T a,Vacuum tank pressure,[mbar],5,80.0,966.0,966.0,966.0,CAdtIdx; time_s; time_us; value,color; fractionalDigitsY; longText; objectNumber; objectSVname; offsetY; scaleY; shortText; signalType; unitText
ddd,ddd\ddd_y_250908152118.xml.gz,ddd_y_250908152118.xml.gz,,13,p VacD2 a,VacD2: Vacuum pressure moving platen,[mbar],201,80.0,954.0,960.0,958.0776218905473,CAdtIdx; time_s; time_us; value,color; fractionalDigitsY; longText; objectNumber; objectSVname; offsetY; scaleY; shortText; signalType; unitText
ddd,ddd\ddd_y_250908152429.xml.gz,ddd_y_250908152429.xml.gz,,0,p Soll,Nominal pressure,[bar],270,80.0,3.0,210.0,129.63703703703703,CAdtIdx; time_s; time_us; value,color; fractionalDigitsY; longText; objectNumber; objectSVname; offsetY; scaleY; shortText; signalType; unitText
ddd,ddd\ddd_y_250908152429.xml.gz,ddd_y_250908152429.xml.gz,,1,p Sys   a,System pressure,[bar],1787,80.0,0.0,168.0,87.48069390039171,CAdtIdx; time_s; time_us; value,color; fractionalDigitsY; longText; objectNumber; objectSVname; offsetY; scaleY; shortText; signalType; unitText
ddd,ddd\ddd_y_250908152429.xml.gz,ddd_y_250908152429.xml.gz,,2,s L     a,die position,[mm],2883,80.0,0.0,990.8,427.72611862643083,CAdtIdx; time_s; time_us; value,color; fractionalDigitsY; longText; objectNumber; objectSVname; offsetY; scaleY; shortText; signalType; unitText
ddd,ddd\ddd_y_250908152429.xml.gz,ddd_y_250908152429.xml.gz,,3,p L     a,closing pressure,[bar],1915,80.0,2.0,203.0,103.22661253263708,CAdtIdx; time_s; time_us; value,color; fractionalDigitsY; longText; objectNumber; objectSVname; offsetY; scaleY; shortText; signalType; unitText
ddd,ddd\ddd_y_250908152429.xml.gz,ddd_y_250908152429.xml.gz,,4,s I     a,Plunger stroke,[mm],3483,80.0,0.0,764.0,334.1284811943727,CAdtIdx; time_s; time_us; value,color; fractionalDigitsY; longText; objectNumber; objectSVname; offsetY; scaleY; shortText; signalType; unitText
ddd,ddd\ddd_y_250908152429.xml.gz,ddd_y_250908152429.xml.gz,,5,v I     a,Casting cylinder velocity,[m/s],425,80.0,-0.37,3.6,0.8430494117647058,CAdtIdx; time_s; time_us; value,color; fractionalDigitsY; longText; objectNumber; objectSVname; offsetY; scaleY; shortText; signalType; unitText
ddd,ddd\ddd_y_250908152429.xml.gz,ddd_y_250908152429.xml.gz,,6,p IM    a,Metal pressure: actual,[bar],1647,80.0,0.0,413.0,269.27747419550695,CAdtIdx; time_s; time_us; value,color; fractionalDigitsY; longText; objectNumber; objectSVname; offsetY; scaleY; shortText; signalType; unitText
ddd,ddd\ddd_y_250908152429.xml.gz,ddd_y_250908152429.xml.gz,,7,p I.1   a,casting cyl. primary,[bar],985,80.0,-2.0,165.0,102.50050761421319,CAdtIdx; time_s; time_us; value,color; fractionalDigitsY; longText; objectNumber; objectSVname; offsetY; scaleY; shortText; signalType; unitText
ddd,ddd\ddd_y_250908152429.xml.gz,ddd_y_250908152429.xml.gz,,8,p I.2   a,Injection cylinder secondary,[bar],1604,80.0,2.0,238.0,114.46009975062344,CAdtIdx; time_s; time_us; value,color; fractionalDigitsY; longText; objectNumber; objectSVname; offsetY; scaleY; shortText; signalType; unitText
ddd,ddd\ddd_y_250908152429.xml.gz,ddd_y_250908152429.xml.gz,,9,p N Acc a,nitrogen pressure accu,[bar],318,80.0,117.0,135.0,125.57232704402516,CAdtIdx; time_s; time_us; value,color; fractionalDigitsY; longText; objectNumber; objectSVname; offsetY; scaleY; shortText; signalType; unitText
